fact_ratio,cands_lim,query_type,mean_coverage,hit_rate,avg_subgraph_size,num_queries
0.4,64,1_hop,0.7360688956433635,0.7872340425531915,988.3404255319149,47
0.4,64,2_hop,0.6726426636109407,0.8085106382978723,947.8085106382979,47
0.4,64,3_hop,0.5740433943880263,0.7872340425531915,928.2978723404256,47
0.4,128,1_hop,0.7755825734549138,0.8085106382978723,960.5106382978723,47
0.4,128,2_hop,0.5829502078698932,0.8085106382978723,936.8723404255319,47
0.4,128,3_hop,0.6452649243053153,0.851063829787234,959.8085106382979,47
0.4,256,1_hop,0.7666666666666666,0.8085106382978723,999.6170212765958,47
0.4,256,2_hop,0.5456701593460188,0.6808510638297872,883.3617021276596,47
0.4,256,3_hop,0.5030711090934947,0.6808510638297872,927.7446808510638,47
0.4,512,1_hop,0.8257767646065518,0.8936170212765957,986.936170212766,47
0.4,512,2_hop,0.5500164483745857,0.723404255319149,973.7872340425532,47
0.4,512,3_hop,0.48527047601676937,0.7021276595744681,941.9574468085107,47
0.4,1024,1_hop,0.7595099935525467,0.8085106382978723,977.9148936170212,47
0.4,1024,2_hop,0.5719755495152726,0.7872340425531915,958.5744680851063,47
0.4,1024,3_hop,0.4658323234613326,0.723404255319149,936.2340425531914,47
0.6,64,1_hop,0.8220832949556354,0.9148936170212766,1021.9574468085107,47
0.6,64,2_hop,0.711135064923628,0.8723404255319149,958.8085106382979,47
0.6,64,3_hop,0.4536401225171245,0.6595744680851063,984.1276595744681,47
0.6,128,1_hop,0.8708628841607565,0.8936170212765957,1024.0,47
0.6,128,2_hop,0.6748667448784844,0.7872340425531915,945.4893617021277,47
0.6,128,3_hop,0.5592974809196173,0.6382978723404256,983.063829787234,47
0.6,256,1_hop,0.7905911464422103,0.8723404255319149,1023.5106382978723,47
0.6,256,2_hop,0.689005514764592,0.8297872340425532,898.7659574468086,47
0.6,256,3_hop,0.5931807885381851,0.723404255319149,1014.8936170212766,47
0.6,512,1_hop,0.7863267937736024,0.851063829787234,997.7234042553191,47
0.6,512,2_hop,0.6266278075749524,0.8085106382978723,955.1489361702128,47
0.6,512,3_hop,0.5647003462391883,0.723404255319149,1027.212765957447,47
0.6,1024,1_hop,0.8244680851063828,0.8723404255319149,976.063829787234,47
0.6,1024,2_hop,0.7037213998354316,0.8936170212765957,973.6382978723404,47
0.6,1024,3_hop,0.5569208160302765,0.7659574468085106,998.7021276595744,47
0.8,64,1_hop,0.946126568466994,1.0,1014.3829787234042,47
0.8,64,2_hop,0.7538936383434565,0.9148936170212766,994.2765957446809,47
0.8,64,3_hop,0.6599839970852798,0.7872340425531915,969.3404255319149,47
0.8,128,1_hop,0.972722313147845,1.0,1018.7659574468086,47
0.8,128,2_hop,0.8019508504592507,0.8936170212765957,1024.6170212765958,47
0.8,128,3_hop,0.7213686957036157,0.8297872340425532,1002.5531914893617,47
0.8,256,1_hop,0.9219858156028369,0.9361702127659575,1018.7446808510638,47
0.8,256,2_hop,0.7321060765472454,0.8723404255319149,1021.2765957446809,47
0.8,256,3_hop,0.6736862529394951,0.8085106382978723,995.8510638297872,47
0.8,512,1_hop,0.9343971631205673,0.9787234042553191,1027.4893617021276,47
0.8,512,2_hop,0.6595135676293938,0.7659574468085106,1016.531914893617,47
0.8,512,3_hop,0.6347717042214361,0.8297872340425532,1014.4255319148937,47
0.8,1024,1_hop,0.9046099290780143,0.9574468085106383,1002.8936170212766,47
0.8,1024,2_hop,0.5876548899164608,0.7446808510638298,1022.1914893617021,47
0.8,1024,3_hop,0.6737938548654343,0.7659574468085106,1011.5531914893617,47
